iface,filename,bytes,mtime_utc,first_pkt_epoch,first_pkt_utc,last_pkt_epoch,last_pkt_utc,pkts_estimate
tap5cfefce2-e1,tap5cfefce2-e1_20260313_094600Z_120s.pcap,77580,2026-03-13T09:48:00Z,1773395162.786801,2026-03-13T09:46:02Z,1773395279.358171,2026-03-13T09:47:59Z,646
tap5cfefce2-e1,tap5cfefce2-e1_20260313_094800Z_120s.pcap,11898,2026-03-13T09:49:57Z,1773395284.461213,2026-03-13T09:48:04Z,1773395397.195771,2026-03-13T09:49:57Z,99
tap5cfefce2-e1,tap5cfefce2-e1_20260313_095000Z_120s.pcap,20055,2026-03-13T09:51:57Z,1773395402.220894,2026-03-13T09:50:02Z,1773395516.397096,2026-03-13T09:51:56Z,167
tap5cfefce2-e1,tap5cfefce2-e1_20260313_095200Z_120s.pcap,12091,2026-03-13T09:54:00Z,1773395525.411235,2026-03-13T09:52:05Z,1773395639.614189,2026-03-13T09:53:59Z,100
tap5cfefce2-e1,tap5cfefce2-e1_20260313_095400Z_120s.pcap,19350,2026-03-13T09:55:58Z,1773395649.344131,2026-03-13T09:54:09Z,1773395758.390288,2026-03-13T09:55:58Z,161
tap5cfefce2-e1,tap5cfefce2-e1_20260313_095601Z_120s.pcap,19430,2026-03-13T09:57:58Z,1773395764.341837,2026-03-13T09:56:04Z,1773395878.178675,2026-03-13T09:57:58Z,161
tap5cfefce2-e1,tap5cfefce2-e1_20260313_095801Z_120s.pcap,25162,2026-03-13T09:59:56Z,1773395888.616311,2026-03-13T09:58:08Z,1773395996.934584,2026-03-13T09:59:56Z,209
tap5cfefce2-e1,tap5cfefce2-e1_20260313_100001Z_120s.pcap,40707,2026-03-13T10:01:55Z,1773396002.416053,2026-03-13T10:00:02Z,1773396114.863425,2026-03-13T10:01:54Z,339
tap5cfefce2-e1,tap5cfefce2-e1_20260313_100201Z_120s.pcap,14025,2026-03-13T10:03:52Z,1773396125.873338,2026-03-13T10:02:05Z,1773396231.769064,2026-03-13T10:03:51Z,116
tap64df3304-c2,tap64df3304-c2_20260313_090757Z_120s.pcap,12264,2026-03-13T09:09:54Z,1773392880.232321,2026-03-13T09:08:00Z,1773392993.385688,2026-03-13T09:09:53Z,102
tap64df3304-c2,tap64df3304-c2_20260313_090957Z_120s.pcap,15170,2026-03-13T09:11:57Z,1773393003.245657,2026-03-13T09:10:03Z,1773393116.419635,2026-03-13T09:11:56Z,126
tap64df3304-c2,tap64df3304-c2_20260313_091157Z_120s.pcap,14662,2026-03-13T09:13:54Z,1773393119.673926,2026-03-13T09:11:59Z,1773393234.044549,2026-03-13T09:13:54Z,122
